Unnamed: 0,Khối sản xuất,Unnamed: 2,Unnamed: 3,SDC-19-FM-21/v1.0
,,,,
,"TỔNG HỢP THÀNH PHẦN CÔNG NGHỆ, CÔNG CỤ CỦA DỰ ÁN: MISA ID",,,
,,,,
,Nội dung,Công nghệ sử dụng,Phiên bản ,Ngày cập nhật
,1. Thông tin chung về webapp,,,
,"Tên webapp: MISA ID
URL: https://id.misa.vn/
Người phụ trách: Nguyễn Trung Kiên",,,
,2. Front-end,,,
,Framework / Library: ,"jquery, Blazor",v2.1.4,2025-06-03 00:00:00
,Ngôn ngữ lập trình: ,"JavaScript, C#",ES6,2025-06-03 00:00:00
,Thư viện UI/UX: ,jquery-ui,v1.11.3,2025-06-03 00:00:00
,Công cụ build/deploy: ,msbuild,v17.5,2025-06-03 00:00:00
,CDN cache: ,Cloudflare,,2025-06-03 00:00:00
,3. Back-end,,,
,Web Server,"IIS, k8s",IIS v10.0.17763.1,2025-06-03 00:00:00
,Framework:,.NET Core,netcore 2.1,2025-06-03 00:00:00
,Ngôn ngữ lập trình:,C#,1900-01-06 00:00:00,2025-06-03 00:00:00
,API Gateway:,Không,,2025-06-03 00:00:00
,Phương thức xác thực (authentication/authorization) ,"JWT, API Key",,2025-06-03 00:00:00
,Cache,Redis,v6.2.6,2025-06-03 00:00:00
,Queue,Không sử dụng,,2025-06-03 00:00:00
,Quản lý FileUpload/ FileStorage,FileShare,,2025-06-03 00:00:00
,Search Engine,Không sử dụng,,2025-06-03 00:00:00
,LoadBalance,"F5 BigIP, Nginx",,2025-06-03 00:00:00
,Streaming real-time,Không sử dụng,,2025-06-03 00:00:00
,4. Cơ sở dữ liệu,,,
,Loại database:,SQLServer,2017,2025-06-03 00:00:00
,Công cụ quản lý database: ,SQL Server Management Studio,v19.1,2025-06-03 00:00:00
,5. Hạ tầng và DevOps,,,
,Công cụ điều phối ứng dụng,"IIS, K8S",IIS v10.0.17763.1 / k8s v1.25.16,2025-06-03 00:00:00
,CI,Jenkins,v2.492.3,2025-06-03 00:00:00
,CD,Jenkins,v2.492.3,2025-06-03 00:00:00
,Công cụ lưu trữ log,Elasticsearch,v8.2.2,2025-06-03 00:00:00
,6. Dịch vụ bên ngoài (nếu có),,,
,Dịch vụ thanh toán,Không sử dụng,,2025-06-03 00:00:00
,Dịch vụ Email,Không sử dụng,,2025-06-03 00:00:00
,Dịch vụ phân tích và tracking,Không sử dụng,,2025-06-03 00:00:00
,Các API bên ngoài khác,MobifoneGlobal (SSO),api của đối tác,2025-06-03 00:00:00
