Summary,Issue Type,Status,Project key,Project name,Priority,Assignee,Reporter,Creator,Component/s,Custom field (Bộ phận phản ánh),Custom field (Ghi chú (Mô tả vấn đề)),Custom field (Kênh hỗ trợ),Custom field (Loại hỗ trợ),Custom field (Loại lỗi),Custom field (Severity),Custom field (Thêm labels),Custom field (Độ khó),Custom field (Phân loại yêu cầu)
Oracle MySQL Server <= 5.7.36 / 8.0 <= 8.0.27 Security Update (cpujan2022) - Windows,Vấn đề của khách hàng,Chờ xử lý,SRE,,Trung bình,B06-0238,B-1001,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2 năm 2025, Ban ANTT ghi nhận lỗ hổng có thông tin như sau:
	- Name: Oracle MySQL Server <= 5.7.36 / 8.0 <= 8.0.27 Security Update (cpujan2022) - Windows
	- CVSS: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N - 7.5
	- Related CVE: ['CVE-2021-22946', 'CVE-2022-21245', 'CVE-2022-21344', 'CVE-2022-21303', 'CVE-2022-21304', 'CVE-2022-21367', 'CVE-2022-21270', 'CVE-2021-22947']
	- Severity: High
	- Description: Oracle MySQL Server is prone to multiple vulnerabilities.  
Affected Software/OS: Oracle MySQL Server version 5.7.36 and prior and 8.0 through 8.0.27.
	- 
	- Affected OS detected: Microsoft Windows
	- Affected services/hosts:
\t\t+ mysql: 3306/tcp - 172.16.193.8 - dn-db-ksc-02.misaonline.local
\t\t+ mysql: 3306/tcp - 10.64.136.9 - dn-db-ksc-03.misaonline.local
	- Resolution: Update to version 5.7.37, 8.0.28 or later.
Trân trọng!",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
"Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.32 Security Update (cpuapr2023) - Windows",Vấn đề của khách hàng,Chờ xử lý,SRE,,Trung bình,B06-0238,B-1001,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2 năm 2025, Ban ANTT ghi nhận lỗ hổng có thông tin như sau:
	- Name: Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.32 Security Update (cpuapr2023) - Windows
	- CVSS: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H - 7.5
	- Related CVE: ['CVE-2022-43551', 'CVE-2022-4304', 'CVE-2023-21980', 'CVE-2023-0215', 'CVE-2022-4450', 'CVE-2023-0286']
	- Severity: High
	- Description: Oracle MySQL Server is prone to multiple vulnerabilities.  
Affected Software/OS: Oracle MySQL Server version 5.7.41 and prior and 8.x through 8.0.32.
	- 
	- Affected OS detected: Microsoft Windows
	- Affected services/hosts:
\t\t+ mysql: 3306/tcp - 172.16.193.8 - dn-db-ksc-02.misaonline.local
\t\t+ mysql: 3306/tcp - 10.64.136.9 - dn-db-ksc-03.misaonline.local
	- Resolution: Update to version 5.7.42, 8.0.33 or later.
Trân trọng!",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
Unprotected MongoDB Service,Vấn đề của khách hàng,Chờ xử lý,CRM,,Trung bình,B06-0042,B-1001,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2 năm 2025, Ban ANTT ghi nhận lỗ hổng có thông tin như sau:
	- Name: Unprotected MongoDB Service
	- CVSS: AV:N/AC:L/Au:N/C:P/I:P/A:P - 7.5
	- Related CVE: []
	- Severity: High
	- Description: The remote MongoDB service is unprotected.
	- Impact: Attackers can exploit this issue to obtain sensitive information that may lead to further attacks.
	- Affected OS detected: Linux Kernel, Microsoft Windows Server 2016 or Microsoft Windows 10
	- Affected services/hosts:
\t\t+ mongodb: 27017/tcp - 172.16.193.65 - crm2-db-05.misaonline.local
	- Resolution: Enable authentication or restrict access to the MongoDB service.
Trân trọng!",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
Unprotected MongoDB Service,Vấn đề của khách hàng,Chờ xử lý,ME,,Trung bình,B06-0307,B-1001,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2 năm 2025, Ban ANTT ghi nhận lỗ hổng có thông tin như sau:
	- Name: Unprotected MongoDB Service
	- CVSS: AV:N/AC:L/Au:N/C:P/I:P/A:P - 7.5
	- Related CVE: []
	- Severity: High
	- Description: The remote MongoDB service is unprotected.
	- Impact: Attackers can exploit this issue to obtain sensitive information that may lead to further attacks.
	- Affected OS detected: Linux Kernel, Microsoft Windows Server 2016 or Microsoft Windows 10
	- Affected services/hosts:
\t\t+ mongodb: 27017/tcp - 172.16.193.191 - pv-inv-ar-mg01a.misaonline.local
\t\t+ mongodb: 27017/tcp - 172.16.193.185 - pv-inv-mg00004a.misaonline.local
\t\t+ mongodb: 27017/tcp - 172.16.193.186 - pv-inv-mg00005a.misaonline.local
\t\t+ mongodb: 27017/tcp - 172.16.193.187 - pv-inv-mg00006a.misaonline.local
\t\t+ mongodb: 27017/tcp - 172.16.193.77 - inv-db-16.misaonline.local
\t\t+ mongodb: 27017/tcp - 172.16.193.55 - inv-db-08.misaonline.local
	- Resolution: Enable authentication or restrict access to the MongoDB service.
Trân trọng!",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
Unprotected MongoDB Service,Vấn đề của khách hàng,Chờ xử lý,MAKT,,Trung bình,B06-0414,B-1001,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2 năm 2025, Ban ANTT ghi nhận lỗ hổng có thông tin như sau:
	- Name: Unprotected MongoDB Service
	- CVSS: AV:N/AC:L/Au:N/C:P/I:P/A:P - 7.5
	- Related CVE: []
	- Severity: High
	- Description: The remote MongoDB service is unprotected.
	- Impact: Attackers can exploit this issue to obtain sensitive information that may lead to further attacks.
	- Affected OS detected: Linux Kernel, Microsoft Windows Server 2016 or Microsoft Windows 10
	- Affected services/hosts:
\t\t+ mongodb: 27017/tcp - 172.16.193.34 - sme-db-03.misaonline.local
\t\t+ mongodb: 27017/tcp - 172.16.193.62 - sme-db-07.misaonline.local
\t\t+ mongodb: 27017/tcp - 172.16.193.35 - sme-db-04.misaonline.local
	- Resolution: Enable authentication or restrict access to the MongoDB service.
Trân trọng!",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
Unprotected MongoDB Service,Vấn đề của khách hàng,Chờ xử lý,MEINBOT,,Trung bình,B06-0426,B-1001,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2 năm 2025, Ban ANTT ghi nhận lỗ hổng có thông tin như sau:
	- Name: Unprotected MongoDB Service
	- CVSS: AV:N/AC:L/Au:N/C:P/I:P/A:P - 7.5
	- Related CVE: []
	- Severity: High
	- Description: The remote MongoDB service is unprotected.
	- Impact: Attackers can exploit this issue to obtain sensitive information that may lead to further attacks.
	- Affected OS detected: Linux Kernel, Microsoft Windows Server 2016 or Microsoft Windows 10
	- Affected services/hosts:
\t\t+ mongodb: 27017/tcp - 172.16.193.164 - pv-ibt-mg00001b.misaonline.local
\t\t+ mongodb: 27017/tcp - 172.16.193.165 - pv-ibt-mg00001c.misaonline.local
	- Resolution: Enable authentication or restrict access to the MongoDB service.
Trân trọng!",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
Unprotected MongoDB Service,Vấn đề của khách hàng,Chờ xử lý,SRE,,Trung bình,B06-0238,B-1001,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2 năm 2025, Ban ANTT ghi nhận lỗ hổng có thông tin như sau:
	- Name: Unprotected MongoDB Service
	- CVSS: AV:N/AC:L/Au:N/C:P/I:P/A:P - 7.5
	- Related CVE: []
	- Severity: High
	- Description: The remote MongoDB service is unprotected.
	- Impact: Attackers can exploit this issue to obtain sensitive information that may lead to further attacks.
	- Affected OS detected: Linux Kernel, Microsoft Windows Server 2016 or Microsoft Windows 10
	- Affected services/hosts:
\t\t+ mongodb: 27017/tcp - 172.16.193.78
\t\t+ mongodb: 27017/tcp - 172.16.193.100 - inbot-db-01.misaonline.local
\t\t+ mongodb: 27017/tcp - 172.16.194.26 - hcsnp-db-01.misaonline.local
\t\t+ mongodb: 27017/tcp - 172.16.194.48
\t\t+ mongodb: 27017/tcp - 172.16.181.82 - ms-pmc-ap-01.misaonline.local
	- Resolution: Enable authentication or restrict access to the MongoDB service.
Trân trọng!",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
Unprotected MongoDB Service,Vấn đề của khách hàng,Chờ xử lý,DVC,,Trung bình,B06-0005,B-1001,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2 năm 2025, Ban ANTT ghi nhận lỗ hổng có thông tin như sau:
	- Name: Unprotected MongoDB Service
	- CVSS: AV:N/AC:L/Au:N/C:P/I:P/A:P - 7.5
	- Related CVE: []
	- Severity: High
	- Description: The remote MongoDB service is unprotected.
	- Impact: Attackers can exploit this issue to obtain sensitive information that may lead to further attacks.
	- Affected OS detected: Linux Kernel, Microsoft Windows Server 2016 or Microsoft Windows 10
	- Affected services/hosts:
\t\t+ mongodb: 27017/tcp - 172.16.194.59 - dvc-mg-a01-03.misaonline.local
\t\t+ mongodb: 27017/tcp - 172.16.194.58 - dvc-mg-a01-02.misaonline.local
\t\t+ mongodb: 27017/tcp - 172.16.194.57 - dvc-mg-a01-01.misaonline.local
\t\t+ mongodb: 27017/tcp - 172.16.194.240 - dvc-mg-a01-04.misaonline.local
	- Resolution: Enable authentication or restrict access to the MongoDB service.
Trân trọng!",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
Oracle MySQL Server <= 5.7.35 / 8.0 <= 8.0.26 Security Update (cpuoct2021) - Windows,Vấn đề của khách hàng,Chờ xử lý,SRE,,Trung bình,B06-0238,B-1001,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2 năm 2025, Ban ANTT ghi nhận lỗ hổng có thông tin như sau:
	- Name: Oracle MySQL Server <= 5.7.35 / 8.0 <= 8.0.26 Security Update (cpuoct2021) - Windows
	- CVSS: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H - 9.8
	- Related CVE: ['CVE-2021-35604', 'CVE-2021-22946', 'CVE-2021-3712', 'CVE-2021-22923', 'CVE-2021-22926', 'CVE-2021-22945', 'CVE-2021-22925', 'CVE-2021-22924', 'CVE-2021-22922', 'CVE-2021-3711', 'CVE-2021-35624', 'CVE-2021-22947']
	- Severity: High
	- Description: Oracle MySQL Server is prone to multiple vulnerabilities.  
Affected Software/OS: Oracle MySQL Server version 5.7.35 and prior and 8.0 through 8.0.26.
	- 
	- Affected OS detected: Microsoft Windows
	- Affected services/hosts:
\t\t+ mysql: 3306/tcp - 172.16.193.8 - dn-db-ksc-02.misaonline.local
\t\t+ mysql: 3306/tcp - 10.64.136.9 - dn-db-ksc-03.misaonline.local
	- Resolution: Update to version 5.7.36, 8.0.27 or later.
Trân trọng!",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
"Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.30 Security Update (cpuapr2023) - Windows",Vấn đề của khách hàng,Chờ xử lý,SRE,,Trung bình,B06-0238,B-1001,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2 năm 2025, Ban ANTT ghi nhận lỗ hổng có thông tin như sau:
	- Name: Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.30 Security Update (cpuapr2023) - Windows
	- CVSS: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H - 7.5
	- Related CVE: ['CVE-2023-21912']
	- Severity: High
	- Description: Oracle MySQL Server is prone to a denial of service (DoS) vulnerability.  
Affected Software/OS: Oracle MySQL Server version 5.7.41 and prior and 8.x through 8.0.30.
	- 
	- Affected OS detected: Microsoft Windows
	- Affected services/hosts:
\t\t+ mysql: 3306/tcp - 172.16.193.8 - dn-db-ksc-02.misaonline.local
\t\t+ mysql: 3306/tcp - 10.64.136.9 - dn-db-ksc-03.misaonline.local
	- Resolution: Update to version 5.7.42, 8.0.31 or later.
Trân trọng!",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
