Summary,Issue Type,Status,Project key,Project name,Priority,Assignee,Reporter,Creator,Component/s,Custom field (Bộ phận phản ánh),Custom field (Ghi chú (Mô tả vấn đề)),Custom field (Kênh hỗ trợ),Custom field (Loại hỗ trợ),Custom field (Loại lỗi),Custom field (Severity),Custom field (Thêm labels),Custom field (Độ khó),Custom field (Phân loại yêu cầu)
Cleartext Transmission of Sensitive Information via HTTP,Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Cleartext Transmission of Sensitive Information via HTTP""
- CVSS: AV:A/AC:L/Au:N/C:P/I:P/A:N - 4.8
- Related CVE: []
- Severity: Medium
- Description: The host / application transmits sensitive information (username, passwords) in cleartext via HTTP.
- Impact: Impact: An attacker could use this situation to compromise or eavesdrop on the HTTP communication between the client and the server using a man-in-the-middle attack to get access to sensitive data like usernames or passwords.
- Affected OS detected: Linux Kernel, Microsoft Windows, Microsoft Windows Server 2016 or Microsoft Windows 10
- Affected services/hosts:
	Service: php:php:5.6.31
- Resolution: Enforce the transmission of sensitive data via an encrypted SSL/TLS connection. Additionally make sure the host / application is redirecting all users to the secured SSL/TLS connection before allowing to input sensitive data into the mentioned functions.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
Cogent DataHub Multiple Vulnerabilities - Active Check,Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Cogent DataHub Multiple Vulnerabilities - Active Check""
- CVSS: AV:N/AC:L/Au:N/C:N/I:N/A:P - 5.0
- Related CVE: []
- Severity: Medium
- Description: Cogent DataHub is prone to a directory traversal vulnerability, an information disclosure vulnerability and to multiple buffer-overflow and integer-overflow vulnerabilities.
- Impact: Impact: Exploiting the issues may allow an attacker to obtain sensitive information that could aid in further attacks or may allow attackers to execute arbitrary code within the context of the privileged domain.
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: ietf:transport_layer_security
- Resolution: Update to version 6.4.20, 7.1.2 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
DCE/RPC and MSRPC Services Enumeration Reporting,Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""DCE/RPC and MSRPC Services Enumeration Reporting""
- CVSS: AV:N/AC:L/Au:N/C:P/I:N/A:N - 5.0
- Related CVE: []
- Severity: Medium
- Description: Distributed Computing Environment / Remote Procedure Calls (DCE/RPC) or MSRPC services running on the remote host can be enumerated by connecting on port 135 and doing the appropriate queries.
- Impact: Impact: An attacker may use this fact to gain more knowledge about the remote host.
- Affected OS detected: Microsoft Windows, Microsoft Windows Server 2016 or Microsoft Windows 10, Windows Server 2008 R2 Enterprise 7601 Service Pack 1, Windows Server 2016 Standard 14393
- Affected services/hosts:
	Service: loc-srv
- Resolution: Filter incoming traffic to this ports.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
Elastic Elasticsearch DoS Vulnerability (ESA-2021-15),Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Elastic Elasticsearch DoS Vulnerability (ESA-2021-15)""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Elasticsearch is prone to a denial of service (DoS) vulnerability. An uncontrolled recursion vulnerability that could lead to a denial of service attack was identified in the Elasticsearch Grok parser. A user with the ability to submit arbitrary queries to Elasticsearch could create a malicious Grok query that will crash the Elasticsearch node.
- Impact: 
- Affected OS detected: Ubuntu 20.04
- Affected services/hosts:
	Service: f5:nginx:1.23.2
	Service: f5:nginx:1.23.2
	Service: f5:nginx:1.23.2
- Resolution: Update to version 6.8.17, 7.13.3 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
Elastic Elasticsearch Information Disclosure Vulnerability (ESA-2021-05),Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Elastic Elasticsearch Information Disclosure Vulnerability (ESA-2021-05)""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Elasticsearch is prone to an information disclosure vulnerability. A document disclosure flaw was found in Elasticsearch when Document or Field Level Security is used. Get requests do not properly apply security permissions when executing a query against a recently updated document. This affects documents that have been updated and not yet refreshed in the index.
- Impact: Impact: This could result in the search disclosing the existence of documents and fields the attacker should not be able to view. A mitigating factor to this flaw is an attacker must know the document ID to run the get request.
- Affected OS detected: Ubuntu 20.04
- Affected services/hosts:
	Service: nginx:nginx:1.23.2
- Resolution: Update to version 7.11.0 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
Elastic Elasticsearch Memory Disclosure Vulnerability (ESA-2021-16),Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Elastic Elasticsearch Memory Disclosure Vulnerability (ESA-2021-16)""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Elasticsearch is prone to a memory disclosure vulnerability. A memory disclosure vulnerability was identified in Elasticsearch's error reporting. A user with the ability to submit arbitrary queries to Elasticsearch could submit a malformed query that would result in an error message returned containing previously used portions of a data buffer. This buffer could contain sensitive information such as Elasticsearch documents or authentication details.
- Impact: 
- Affected OS detected: Ubuntu 20.04
- Affected services/hosts:
	Service: nginx:nginx:1.23.2
- Resolution: Update to version 7.13.4 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
Elastic Elasticsearch Multiple Log4j Vulnerabilities (Dec 2021),Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Elastic Elasticsearch Multiple Log4j Vulnerabilities (Dec 2021)""
- CVSS: 
- Related CVE: []
- Severity: Critical
- Description: Elastic Elasticsearch is prone to multiple vulnerabilities in the Apache Log4j library. The following vulnerabilities exist: CVE-2021-45046: Denial of Service (DoS) and a possible remote code execution (RCE) in certain non-default configurations. CVE-2021-45105: Apache Log4j2 did not protect from uncontrolled recursion from self-referential lookups. When the logging configuration uses a non-default Pattern Layout with a Context Lookup (for example, $${ctx:loginId}), attackers with control over Thread Context Map (MDC) input data can craft malicious input data that contains a recursive lookup, resulting in a StackOverflowError that will terminate the process.
- Impact: Impact: The vendor states that there is no impact in all currently supported versions with default configurations. To avoid unknown risks it is still recommended to apply the updates or workarounds provided by the vendor.
- Affected OS detected: Ubuntu 20.04
- Affected services/hosts:
	Service: nginx:nginx:1.23.2
- Resolution: Update to version 6.8.22, 7.16.2 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Critical,,Trung bình,Bảo mật
"Elastic Elasticsearch Multiple Log4j Vulnerabilities (ESA-2021-31, Log4Shell) - Version Check",Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Elastic Elasticsearch Multiple Log4j Vulnerabilities (ESA-2021-31, Log4Shell) - Version Check""
- CVSS: 
- Related CVE: []
- Severity: Critical
- Description: Elastic Elasticsearch is prone to multiple vulnerabilities in the Apache Log4j library. The following vulnerabilities exist: CVE-2021-44228: Apache Log4j2 JNDI features used in configuration, log messages, and parameters do not protect against attacker controlled LDAP and other JNDI related endpoints. An attacker who can control log messages or log message parameters can execute arbitrary code loaded from LDAP servers when message lookup substitution is enabled. This vulnerability is dubbed 'Log4Shell'. CVE-2021-45046: Denial of Service (DoS) and a possible remote code execution (RCE) in certain non-default configurations.
- Impact: Impact: Please note the following vendor statement on the impact: Elasticsearch 6 and 7 are not susceptible to remote code execution with this vulnerability due to our use of the Java Security Manager. Elasticsearch running on JDK8 or below is susceptible to an information leak via DNS. Elasticsearch 5 is susceptible to both remote code execution and an information leak via DNS. To avoid unknown risks it is still recommended to apply the update provided by the vendor.
- Affected OS detected: Ubuntu 20.04
- Affected services/hosts:
	Service: nginx:nginx:1.23.2
- Resolution: Update to version 6.8.21, 7.16.1 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Critical,,Trung bình,Bảo mật
"Elastic Elasticsearch Multiple Vulnerabilities (ESA-2021-06, ESA-2021-08)",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Elastic Elasticsearch Multiple Vulnerabilities (ESA-2021-06, ESA-2021-08)""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Elasticsearch is prone to multiple vulnerabilities. The following vulnerabilities exist: - CVE-2021-22135: Suggester & Profile API information disclosure flaw - CVE-2021-22137: Field disclosure flaw
- Impact: Impact: This could lead to disclosing the existence of documents and fields the attacker should not be able to view or result in an attacker gaining additional insight into potentially sensitive indices.
- Affected OS detected: Ubuntu 20.04
- Affected services/hosts:
	Service: nginx:nginx:1.23.2
- Resolution: Update to version 6.8.15, 7.12.0 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
"Elastic Kibana 7.0.0 < 7.17.5, 8.0.0 <= 8.2.3 XSS Vulnerability (ESA-2022-08)",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Elastic Kibana 7.0.0 < 7.17.5, 8.0.0 <= 8.2.3 XSS Vulnerability (ESA-2022-08)""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Kibana is prone to a cross-site scripting (XSS) vulnerability. A cross-site-scripting (XSS) vulnerability was discovered in the Vega Charts Kibana integration which could allow arbitrary JavaScript to be executed in a victim's browser.
- Impact: 
- Affected OS detected: Ubuntu 20.04, Ubuntu 22.04
- Affected services/hosts:
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
	Service: Unknown
- Resolution: Update to version 7.17.5, 8.3.0 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
